%  RA(deg)   DEC(deg)    HIPNum  Mag
118.054312 -40.575786  38414  3.71
119.194643 -52.982360  38827  3.46
120.896028 -40.003148  39429  2.21
121.886037 -24.304324  39757  2.83
122.383126 -47.336588  39953  1.75
124.128836   9.185545  40526  3.53
125.628482 -59.509483  41037  1.86
126.415135  -3.906424  41307  3.91
126.434144 -66.136890  41312  3.77
127.566125  60.718169  41704  3.35
130.025598 -35.308352  42515  3.97
130.073272 -52.921887  42536  3.60
130.156541 -46.648744  42570  3.77
130.898073 -33.186386  42828  3.68
131.171248  18.154309  42911  3.94
131.175943 -54.708821  42913  1.93
131.506852 -46.041527  43023  3.87
131.693794   6.418809  43109  3.38
133.761784 -60.644609  43783  3.84
133.848443   5.945563  43813  3.11
134.801891  48.041826  44127  3.12
135.159878  41.782911  44248  3.96
135.611650 -66.396077  44382  4.00
135.906361  47.156525  44471  3.57
136.038668 -47.097737  44511  3.75
136.998994 -43.432589  44816  2.23
137.742022 -58.966896  45080  3.43
137.819667 -62.316977  45101  3.96
138.299898 -69.717208  45238  1.67
138.591079   2.314280  45336  3.89
139.272528 -59.275229  45556  2.21
139.711015  36.802597  45688  3.82
140.263755  34.392562  45860  3.14
140.528410 -55.010668  45941  2.47
141.896847  -8.658603  46390  1.99
142.675001 -40.466769  46651  3.60
142.805495 -57.034377  46701  3.16
142.882117  63.061861  46733  3.65
143.214310  51.677300  46853  3.17
144.964008  -1.142810  47431  3.90
145.287637   9.892308  47508  3.52
146.311714 -62.507903  47854  3.69
146.462804  23.774255  47908  2.97
146.775507 -65.072007  48002  2.92
147.747324  59.038736  48319  3.78
148.190905  26.006951  48455  3.88
149.215590 -54.567790  48774  3.52
151.833135  16.762664  49583  3.48
152.092961  11.967207  49669  1.36
152.646989 -12.354083  49841  3.61
153.434241 -70.037903  50099  3.29
153.683980 -42.121942  50191  3.85
154.172571  23.417311  50335  3.43
154.270732 -61.332304  50371  3.39
154.274131  42.914365  50372  3.45
154.993144  19.841489  50583  2.01
155.582252  41.499516  50801  3.06
156.098776 -74.031612  50954  3.99
156.522611 -16.836290  51069  3.83
156.969709 -58.739403  51232  3.81
158.006097 -61.685333  51576  3.30
158.202799   9.306586  51624  3.84
159.325590 -48.225620  51986  3.84
160.739172 -64.394450  52419  2.74
161.692409 -49.420255  52727  2.69
162.406202 -16.193648  52943  3.11
163.327938  34.214871  53229  3.79
163.373567 -58.853171  53253  3.78
165.460320  56.382427  53910  2.34
165.931953  61.751033  54061  1.81
167.147458 -58.975037  54463  3.93
167.415868  44.498487  54539  3.00
168.527089  20.523717  54872  2.56
169.619737  33.094306  55219  3.49
169.835198 -14.778541  55282  3.56
170.251695 -54.491019  55425  3.90
170.981051  10.529509  55642  4.00
172.850919  69.331076  56211  3.82
173.250481 -31.857625  56343  3.54
173.945353 -63.019842  56561  3.11
176.401746 -66.728763  57363  3.63
176.512558  47.779406  57399  3.69
177.264907  14.572060  57632  2.14
177.673827   1.764718  57757  3.59
178.457698  53.694760  58001  2.41
182.089583 -50.722426  59196  2.58
182.531169 -22.619766  59316  3.02
182.912963 -52.368460  59449  3.97
183.786315 -58.748928  59747  2.79
183.856501  57.032617  59774  3.32
183.951543 -17.541929  59803  2.58
184.976487  -0.666803  60129  3.89
185.340039 -60.401147  60260  3.59
186.649566 -63.099092  60718  0.77
187.009925 -50.230635  60823  3.91
187.466064 -16.515433  60965  2.94
187.791497 -57.113212  61084  1.59
188.116728 -72.132988  61199  3.84
188.370601  69.788238  61281  3.85
188.596811 -23.396759  61359  2.65
189.295910 -69.135564  61585  2.69
189.425681 -48.541304  61622  3.85
190.379328 -48.959888  61932  2.20
190.415176  -1.449375  61941  2.74
191.570027 -68.108119  62322  3.04
191.930263 -59.688764  62434  1.25
193.507289  55.959821  62956  1.76
193.900866   3.397470  63090  3.39
194.006947  38.318380  63125  2.89
195.544155  10.959150  63608  2.85
195.567764 -71.548855  63613  3.61
199.730403 -23.171512  64962  2.99
200.149240 -36.712295  65109  2.75
200.981429  54.925362  65378  2.23
